new-deploy,f8:bc:12:06:c5:f0,172.22.0.51,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.127
new-control01,f8:bc:12:05:b3:c0,172.22.0.52,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.128
new-control02,f8:bc:12:07:34:30,172.22.0.53,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.129
new-control03,f8:bc:12:06:ae:70,172.22.0.54,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.130
new-compute01,f8:bc:12:07:26:f0,172.22.0.55,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.131
new-compute02,f8:bc:12:09:6c:20,172.22.0.56,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.132
new-compute03,f8:bc:12:07:91:90,172.22.0.71,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.147
new-compute04,f8:bc:12:07:ae:50,172.22.0.72,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.148
new-compute05,f8:bc:12:09:7a:a0,172.22.0.73,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.149
new-compute06,f8:bc:12:09:8d:a0,172.22.0.74,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.150
new-compute07,f8:bc:12:06:b4:30,172.22.0.75,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.151
new-compute08,f8:bc:12:06:af:70,172.22.0.76,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.152
new-compute09,f8:bc:12:07:99:90,172.22.0.77,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.153
new-monitoring01,f8:bc:12:09:97:20,172.22.0.78,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.154
new-monitoring02,f8:bc:12:09:6b:e0,172.22.0.79,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.155
new-monitoring03,f8:bc:12:09:a9:60,172.22.0.80,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.156
new-network01,f8:bc:12:09:61:a0,172.22.0.81,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.157
new-network02,f8:bc:12:07:7a:90,172.22.0.82,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.158
new-network03,f8:bc:12:07:b1:50,172.22.0.83,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.159
new-storage01,f8:bc:12:0a:9e:20,172.22.0.103,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.179
new-storage02,f8:bc:12:06:7d:30,172.22.0.104,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.180
new-storage03,f8:bc:12:0a:a6:20,172.22.0.105,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,novice,10.3.72.181
